tissue
time, cell count

0,3.0525e+12
45,7.0328e+11
90,2.129e+11

blood
time, cell count

0,1.6376e+11
15,3.7658e+11
30,4.4408e+11
45,4.3779e+11
60,3.9863e+11
75,3.4782e+11
90,2.9623e+11
105,2.4924e+11
120,2.0838e+11
135,1.7425e+11
150,1.4625e+11
165,1.2378e+11
180,1.0557e+11
195,9.1616e+10
210,8.035e+10
225,7.1505e+10
240,6.4583e+10
255,5.918e+10
270,5.497e+10
285,5.1794e+10
300,4.9178e+10
315,4.7256e+10
330,4.5597e+10
345,4.4476e+10
360,4.3521e+10
375,4.2793e+10
390,4.2256e+10
405,4.1795e+10
420,4.1487e+10
435,4.1226e+10
450,4.1036e+10
465,4.0855e+10
480,4.075e+10
495,4.0645e+10
